District ID,id,Pop20,DHouseholds,DTotal_Income,DArea,DSumAge,DTotal_Rent,DTotalCom,D20Minus,D20to40,D40to65,D65Plus,D0_25k,D25k_50k,D50k_100k,D100k_200k,D200kPlus,DGINI,DOc,DOcOth,DOc1Det,DOc1Att,DOc2_10,DOc10_50,DOc50_Plus,DWhite,DBlack,DNative,DAsian,DPacific,DOther,DMultiracial,DLatino,DVAP,DWhiteVAP,DBlackVAP,DNativeVAP,DAsianVAP,DPacificVAP,DOtherVAP,DMultiracialVAP,DLatinoVAP,DPop10,D10White,D10Black,D10Native,D10Asian,D10Pacific,D10Other,D10Multiracial,D10Latino,D10PCI,D00PCI,DPop00,D00White,D00Black,D00Native,D00Asian,D00Pacific,D00Other,D00Multiracial,D00Latino,DPop90,D90White,D90Black,D90Native,D90Asian,D90Other,D90Latino,D5_or_older,DEnglishOnly,DLimitedEnglish,DSpanish,DIndoEuropean,DAsianPacific,DOtherLanguage,D25_or_older,DHighschool,DBachelors,DGraduate,DNonInstit,DInsured,DUninsured,DMale,DFemale,DVeteran,DWorker_16_up,DCCar,DCTransit,DCWalk,DCBike,DCOther,DIAgri,DIConst,DIMfg,DIWholesale,DIRetail,DITrans,DIInfo,DIProf,DIEdu,DIArts,DIOther,DIPa,DIArmy,DinState,DoutState,DinCounty,DoutCounty,D16_up,DInLF,DUnemployed,DPopPov,DPoverty,DOHousing,DOwner,DRenter,DA_All,DA_Oth,DA_SouthAsia,DA_China,DA_SEasia,DA_Viet,DA_Filipino,DA_Japan,DA_Korea,DE_All,DE_Oth,DE_Germ,DE_USA,DE_Ire,DE_Brit,DE_Italy,DE_Scand,DE_Dutch,DE_Fr,DE_EastEuro,DE_Portug,DE_Czech,DE_Brazil,DE_Arab,DE_Polish,DE_Iran,DE_Balkan,DE_Hungary,DE_Greek,DF_All,DF_African,DF_Carib,DF_AA,DL_All,DL_Oth,DL_Mex,DL_PR,DL_Cuba,DL_Domin,DL_CA,DL_SA,DL_Spain,DUSBorn,DInStateB,DOutStateB,DForeignBorn,DForeignC,DForeignNC,DStSpouse,DGaySpouse,DStPartner,DGayPartner,DCapitaIncome,G24SenD,G24SenO,G24SenR,G24PreR,G24PreD,G24PreO,G23Ref2_2N,G23Ref2_2Y,G23Ref2_1N,G23Ref2_1Y,G23Ref1N,G23Ref1Y,G22SosO,G22AgD,G22AgR,G22CjuD,G22CjuR,G22Sac1R,G22Sac1D,G22Sac2D,G22Sac2R,G22SosD,G22SosR,G22TreD,G22TreR,G22GovD,G22GovR,G22SenD,G22SenR,G22HouD,G22HouR,G20PreD,G20PreR,G20PreO,G18AudO,G18SosO,G18SenD,G18SenR,G18GovD,G18GovR,G18AgD,G18AgR,G18AudD,G18AudR,G18SosD,G18SosR,G18TreD,G18TreR,G18GovO,G16PreD,G16PreR,G16SenD,G16SenR,G16PreO,G16SenO,G08AgR,G08AgD,G08PreD,G08PreR,G08HouD,G08HouR,G08HouO,G08PreO,G08AgO,G24GuessD,G24GuessR,G28GuessD,G28GuessR,
1,,1,786630,325045,33203924127,1556470,29867824,387919050,9265569,204376,221165,246325,114743,61441,60408,89604,77961,35264,340247,356586,2136,207801,18667,68275,37034,21846,537247,151894,1699,35058,585,15243,44906,31531,607737,431175,111763,1217,26390,372,9709,27108,20029,739689,538863,156266,1347,20727,456,6349,14222,17738,27085574387,28521097864,726058,539998,158263,1017,11635,152,2973,8239,7296,708337,547765,149138,808,6999,985,3410,738203,675070,19871,18175,19451,17071,7313,529820,490696,235986,97035,775839,734999,40663,387159,399468,36237,391651,364580,10720,11046,589,3632,616,15349,50431,9381,40878,18747,37561,56502,95077,36275,15053,13324,442,370137,21305,278452,113281,628112,420015,31292,766199,100024,325045,193433,131600,39587,2215,17780,7939,1202,1031,2830,2555,2966,206675,12702,68979,31737,24540,32270,9567,2575,1328,2383,5063,95,844,265,2558,3957,441,1200,1053,1260,193281,10141,724,182184,29059,1839,11708,3391,1707,348,6075,2462,421,732178,529308,195513,54450,24345,29770,136992,1064,20348,817,33474465373,213863,12838,172212,185752,210820,3864,100252,175679,102825,175151,146515,80565,3400,142941,153418,150759,144411,146001,148110,150035,144718,140713,150962,141819,151179,133966,162981,160323,135912,156351,140318,219990,185626,6259,15022,7614,176609,140873,159979,150221,164156,150298,151339,147057,161044,147036,156847,155866,8653,187999,173646,144842,214014,17431,15089,145373,165435,189067,181327,168974,160919,29338,3816,17295,225218,180395,230166,175448
2,,2,786629,303236,22797617086,19110735,31521664,258005354,9426323,195318,189274,264933,136685,65449,67948,95004,60885,11418,331241,340080,45541,244938,6484,23961,11577,4373,723922,15785,2012,4616,149,4911,35233,11750,609613,565856,13047,1672,3623,116,3255,22046,7302,791498,755264,15778,2023,3549,123,2033,11071,7648,20681165258,21064676214,748332,717867,15843,1937,1993,100,1021,6291,3969,680966,660768,15538,1107,1112,444,2029,742151,725827,3652,4698,6452,2142,354,547129,480667,108272,39384,769531,719292,49645,393895,392711,49789,333900,326103,492,3360,186,1373,3035,26401,49090,5065,40313,19914,19200,25636,82119,23970,13161,12704,195,307286,25537,175242,158620,630192,359632,32691,764570,116459,303236,219695,83244,7060,447,2016,916,406,371,1408,506,495,238570,9036,59282,68091,30677,45649,6236,1638,1696,1723,1298,25,370,42,245,1983,47,396,418,399,71567,426,124,70814,10648,865,5497,1902,322,144,425,619,121,778378,603996,169290,8228,3450,4237,152961,507,21227,352,23411115083,107600,14218,252053,278092,97844,2165,113738,123315,138603,100485,69269,103617,1861,62466,196486,69327,188605,189179,68027,69083,187532,62769,192925,64804,191804,58627,198319,76464,181589,65747,192116,100786,272331,4480,10354,6296,100594,169031,83292,179983,83516,183888,81765,174348,82985,177512,82677,182783,8008,91112,241510,84557,242194,13880,14939,146891,148075,133443,204342,142582,155951,30474,6734,17447,92454,280665,82698,290420
3,,3,786630,326380,29266132815,566428,28186939,401519410,8744177,203024,269607,217017,96962,59359,71215,98887,71116,25619,320924,353583,1870,175405,32246,80339,41336,21697,441888,218751,2561,44055,313,26128,52932,49409,615754,372049,155432,1894,35164,248,17703,33263,32846,689464,439580,188010,1550,24456,369,13544,20383,30179,22801348501,24656022825,656822,454003,156887,1380,19747,251,5947,14766,13194,641672,492913,129948,904,12412,1946,5656,731747,626702,39488,27352,26311,17990,32338,518813,477517,230335,89530,783153,721398,61573,386083,400545,33020,405842,374454,10387,13306,1944,4290,937,15623,27277,8983,45816,24725,50509,52767,106087,39587,14909,16833,291,403477,2017,362162,43627,629108,438148,34949,760790,125272,326380,162411,163989,53640,2551,21749,12347,2483,1504,3905,3692,3851,158894,13413,36878,19590,20199,25086,12905,2124,1221,1397,4661,16,1331,481,5327,4400,434,2090,1324,1088,262607,35834,1845,224543,43694,3509,18800,5718,622,2426,7458,3152,595,691164,504176,178146,95461,46205,49103,114550,1065,24624,2116,29874295847,251549,8963,93282,105271,249535,3739,76907,180070,61625,197046,165372,43036,2599,168502,91425,179233,79414,81496,176556,178128,79896,166577,90079,170304,86154,163127,97224,186686,73283,182412,76430,271697,104468,5686,10356,6059,222607,79910,208570,88942,202700,97571,203357,83446,203482,89394,200167,96406,6754,238719,101729,199805,137242,16521,14206,83492,226017,224264,118049,173344,135200,14139,4930,10121,273850,102316,275893,100271
4,,4,786630,302587,27329753219,12614379,30956965,318096287,8752618,205305,186973,262399,131965,47313,62378,97692,71200,21307,301965,331073,15025,252207,11502,32031,10628,5056,675503,38029,1667,24038,302,7709,39379,19760,600303,525021,29299,1263,16983,208,5189,22339,12275,749997,684044,36089,1315,10508,240,3533,12757,11950,23079429668,22072259231,685641,634507,33808,1016,3509,111,2043,6315,5300,619756,584126,28870,707,2282,1139,3285,740670,698834,9521,7653,17182,10513,2462,534673,492836,147581,55849,766601,719878,45862,396786,389869,45388,368511,356008,914,4727,479,2916,4739,18931,73529,7177,37335,15961,27932,32024,82703,26582,14307,13514,202,366254,1526,228292,140284,623818,393088,32431,757690,75735,302587,221034,81275,25013,376,12936,4473,544,769,1622,1155,1617,267063,12110,98132,51135,26497,42221,9614,1629,1423,2000,1963,117,1009,164,1451,2841,108,743,920,782,88828,2478,123,85818,17013,997,8496,3269,258,82,685,1205,154,760515,620977,133992,26115,12654,12550,159946,540,18977,275,27847132645,137280,14023,251987,276459,126896,2539,138978,139474,152525,127745,93572,123090,1803,77568,212838,87689,201685,202968,85428,87687,199843,77625,209316,82066,205584,73420,214196,96653,192646,89346,200740,125718,268633,5882,10462,6830,116563,176790,95525,190199,93976,197550,92028,187601,93871,190193,92430,196352,9018,103506,237177,84614,252023,16740,16859,166143,145807,138262,213660,118714,217786,4206,6568,17645,123011,271342,118496,275858
5,,5,786630,314027,24655908234,14306781,31408817,277339592,8333882,200266,188841,256343,140878,55688,72863,103467,66407,12110,318025,341155,13660,258394,9975,34129,14773,4771,677670,31596,2030,7310,772,18453,48800,57272,612230,537586,23540,1644,5775,456,13284,29947,36872,777246,706599,31913,1779,5943,175,13774,15691,44142,22181748932,23542691989,759134,699166,27623,1373,3686,88,13505,9547,31873,732231,690665,24429,1136,2843,10430,24226,741820,705954,10312,20421,5205,4754,1296,533929,490843,123768,43518,776657,737093,38508,391496,395134,44200,370015,355953,682,6981,432,2452,4421,20711,82412,6918,40208,16890,18628,24821,84923,28599,13199,11499,216,363840,5214,234683,135691,631803,396810,26902,763308,90090,314027,227648,85818,10353,693,1946,2179,730,483,1333,1066,711,285939,5804,123052,59182,21548,25227,10857,1231,1025,1286,1861,125,2782,8,1863,9024,74,1776,3954,314,93176,999,63,91667,55126,1824,22709,23484,404,412,1590,1208,554,770238,637196,123136,16391,7863,7322,150956,565,20529,697,25189171855,149297,14522,226912,254072,138291,2578,132794,140478,144345,129939,98526,112516,1920,86155,191497,96137,180302,181519,93742,96048,179147,85164,188761,88625,185749,79282,196571,106680,170324,91166,184906,142079,248303,5400,11488,6720,136295,150452,111341,167845,112848,168130,105864,164289,110972,164789,107970,173500,9171,127138,217925,107715,230628,19065,19321,132470,163345,180096,190539,160097,190112,0,6931,18771,134454,255929,125037,265345
6,,6,786630,320999,22469251515,12424032,33150732,232631775,8169282,178969,181135,263774,162621,70841,80848,102163,56678,7588,332357,365188,21388,280768,6396,34881,10433,6213,679679,50987,2590,4117,226,9753,39282,25434,628632,553526,38774,1892,3252,172,6517,24504,16172,818866,739012,54921,1520,3587,270,5281,12918,17366,21256972288,23876164960,843821,766621,58547,1244,2465,138,3321,7560,10812,841841,778680,54740,1039,1842,2870,7406,746482,719003,6917,11703,9372,1401,1196,562548,511263,108242,36726,767903,720202,46882,392628,394010,52586,346303,332599,1740,5079,561,3000,5685,22608,52386,6942,40140,19430,18847,24100,85295,30830,13701,9985,138,309691,35709,236056,110130,646075,375112,37652,760179,110723,320999,230261,90474,6101,189,2179,785,497,247,926,333,209,254513,7613,62523,41431,32189,33586,31900,1388,1103,2046,1832,151,6413,59,1458,8994,59,2176,2062,2143,80017,6479,231,72665,23100,635,5240,12032,571,130,1752,404,906,776616,592689,175460,10014,5689,3495,146233,568,21319,522,23236442506,137949,14051,224900,253496,125152,1888,127087,123175,131261,120340,90061,98740,1837,84916,194429,97838,180790,182415,94512,94986,182239,86162,189848,91121,185331,76850,201605,105432,174778,90264,189107,139557,253957,5007,10574,6583,143831,150662,121739,164315,122929,167335,123828,154206,119375,164136,122365,164704,8963,134154,226576,127467,220324,15467,20494,116452,228138,212111,181136,263333,113874,9656,8829,18531,126961,266559,114210,279308
7,,7,786630,317620,31614797026,3427872,32587953,353247348,9757932,187609,178832,265816,154356,38971,59682,104863,85960,27602,313780,334544,5844,247023,16712,25106,22528,15998,687510,24031,1182,23971,183,9722,40033,28958,623803,554128,18407,941,18395,137,7023,24772,19017,765792,713548,18089,900,16970,141,4373,10310,17075,27796577198,29379237778,736537,701662,11296,702,11342,89,2145,6689,8056,668014,649781,7833,517,6918,1009,4417,743260,661925,27513,13293,45948,11359,9637,557002,518894,202476,76666,779374,733249,45864,388192,398439,40840,393123,378736,2330,5605,1153,3907,2557,23809,58659,12225,42993,19013,37363,42189,90322,30924,16611,13588,83,390684,2063,300466,92637,637576,416260,23720,773006,56006,317620,242749,74848,30451,1514,11898,5277,855,1739,5094,1091,1829,262786,9532,57323,28098,27691,24039,25912,1984,1168,1775,12900,22,11829,60,9079,23889,215,11733,7899,2710,74269,2567,377,71147,28110,1299,7655,12153,589,402,2206,2085,570,735117,609820,117715,51514,35034,16197,166441,803,18373,458,31977358559,197188,12081,204602,229883,185356,3642,131731,164834,121374,177219,147440,98149,3173,121754,183357,135634,166410,168638,131261,134709,165757,119788,180580,123570,175394,114102,191518,147204,158788,133728,166581,192613,232397,5421,13068,7471,167039,152354,146009,166248,151448,162493,139906,156809,145221,161315,139841,170313,9019,163078,207646,127531,229666,16805,19701,142821,185902,196743,199814,191363,173417,6493,6183,14609,189509,235504,186154,238858
8,,8,786629,300965,26522574422,4638688,30519453,322384735,9310621,210524,196485,252017,127646,46491,61146,96190,77326,18905,306237,322482,7804,240298,13164,31179,22901,5453,591959,100869,2657,23834,772,21215,45321,39181,603660,470943,72099,1894,18326,541,13356,26505,23963,754393,630717,83357,1347,12430,480,10268,14468,22699,23794335449,25351485779,717016,634517,59842,970,7900,145,3159,6775,7451,665799,612133,45571,599,4204,774,2638,739514,690720,20626,17904,12527,9829,6797,522678,480894,154312,52913,780325,735140,44895,384536,402093,42373,374726,364119,1771,4818,444,1959,1995,22296,59695,9527,41858,22276,31037,36301,86891,30573,15572,11281,261,360754,13317,248732,125944,620554,400498,28488,768588,83076,300965,214583,86332,25498,1581,9017,5483,1661,2383,2815,756,1210,232507,10523,92090,45829,23248,30877,8972,1450,1381,2578,1440,21,742,54,2789,2552,119,835,1016,727,170309,8515,754,160811,28904,1714,13282,2984,788,1275,5346,2107,406,746847,579056,161256,39782,18872,20530,148087,569,19749,475,27083464095,153926,13740,219830,239880,147605,3288,111647,139103,129152,126417,98307,103264,2687,91885,187768,98790,180092,180685,97349,98244,180078,91405,184935,93428,183843,85546,193881,108094,170438,98661,179963,153466,241270,5694,13024,7017,127981,170111,110795,179133,114332,179210,104200,177626,112521,177025,110222,184195,8896,130803,227132,102973,249763,15704,14866,173711,142633,148140,225228,128451,233590,715,5089,17398,156399,238341,158639,236099
9,,9,786630,327036,25772267380,6714420,31513493,298341810,7601380,195040,194960,255216,141172,65718,75925,103483,64918,15137,324958,373880,14211,266713,13089,43201,23068,10019,605003,96558,2403,10318,197,17606,54545,56825,613659,488359,69961,1953,8282,168,12770,32165,36042,796208,654334,94312,2116,8937,165,14426,20545,46819,23693800956,26754046574,807107,680877,86747,1619,6628,140,13896,13347,34315,798745,699034,76575,1400,5555,13257,26584,741052,701243,9879,17649,8390,4755,5859,544767,498284,142295,52241,778101,734073,43452,385944,400685,42857,365444,351440,2669,5045,444,2954,2616,19482,69746,8635,40055,20007,20560,28864,86967,34276,14398,10012,390,350885,13690,260663,104852,631408,398681,38524,771385,108980,327036,219353,107449,13949,827,3455,3095,590,928,2064,728,1111,230141,8645,88116,32944,19586,22909,7310,1955,1154,3358,2447,235,1877,70,4616,18034,196,657,4049,637,130802,5746,1273,123327,56481,2057,41783,5378,776,641,836,1786,444,764401,610869,147149,22232,12452,8874,140802,951,23164,783,26173236432,180021,16700,177480,200099,174605,2905,107713,139058,109428,139166,111061,82675,2167,112379,155432,122544,144169,145055,120016,121207,144428,110782,153221,115564,148802,99403,169373,134138,133093,150572,115615,186086,197536,6527,12900,8077,169241,120281,146208,134937,148421,138660,137357,133594,142828,134326,140083,143317,10513,174126,177698,147901,198806,20645,18418,123706,212517,233043,161894,241363,141628,0,6430,17964,178367,205255,170486,213136
10,,10,786630,329131,25992736266,2570799,31243932,317588398,7961252,195621,205035,246366,139637,66906,74408,101538,68087,17168,319048,365278,4700,251800,23732,50516,21159,11404,563547,136733,2075,18980,428,13499,51367,29652,615991,457205,101560,1630,15246,327,9090,30932,19280,779314,601496,134559,1821,14254,280,6146,19341,17318,23821463316,27412532018,793859,631709,131329,1618,10001,211,3184,11389,8826,802372,665889,122485,1253,7404,1720,5450,739755,696884,14923,13698,9915,10648,6534,539576,492661,165281,69323,773492,723310,49658,381741,404888,58695,363068,346181,5198,7462,398,1791,1238,17712,46934,6612,39148,17531,26637,40521,90062,32676,13681,20967,4387,360719,1701,260474,102487,632433,394280,38258,760665,111212,329131,206906,122018,25062,1036,7028,3686,900,1938,4690,1762,2064,210624,14300,59265,41014,25898,36357,8263,2495,1068,2633,2467,100,885,77,3547,2856,203,573,1053,766,166413,7753,897,157146,25351,1813,12245,3268,437,289,3323,1725,304,750660,551080,190424,35970,18451,16869,136288,692,24401,854,26450669836,182589,13503,179042,198139,176311,3643,105275,146404,109948,143460,118870,85856,2797,113394,161575,123297,150978,152744,120459,120891,152655,113207,157898,116725,155358,104644,170899,131716,143033,104630,168328,185591,199454,6580,12841,7108,160098,139824,136293,155534,139708,157401,132675,150048,138984,151388,138007,157896,9184,166423,189190,132915,219715,17360,16089,149885,190933,200003,193629,153275,225861,0,6040,16876,186453,198589,187187,197856
